,Loan ID,Loan Grade,Term (months),Origination Date,Interest Rate,APR,Origination Fee,Loan Size,Outstanding Principal,Days Late,Delinquency Status,Charged Off Amount,Charged Off Date
15758,L17471,C,36,2015-11-04,12.56,16.94,492.0,8200.0,4733.79,89,Delinquent,,
46818,L49499,B,60,2016-12-19,15.98,18.64,1400.0,25000.0,22987.76,0,Current,,
7461,L28976,C,60,2016-03-23,18.02,20.44,325.0,6500.0,5296.6,0,Current,,
191,L286,C,36,2014-06-10,14.15,17.8,250.0,5000.0,0.0,0,Matured,,
46967,L53569,B,36,2017-02-01,10.02,13.43,239.1,5000.0,4388.82,0,Current,,
60545,L65433,D,36,2017-05-08,13.72,18.14,210.0,3500.0,3341.06,0,Current,,
10993,L9304,B,36,2015-07-06,9.09,12.62,150.0,3000.0,0.0,0,Matured,,
18172,L17264,C,36,2015-11-02,13.3,17.7,840.0,14000.0,6898.95,0,Current,,
44014,L45997,B,36,2016-11-10,11.73,15.78,672.0,12000.0,9678.61,0,Current,,
60950,L65707,A,36,2017-05-09,8.75,12.74,560.0,10000.0,9510.69,0,Current,,
36210,L36279,A,36,2016-07-20,8.13,12.09,280.0,5000.0,3466.24,0,Current,,
31223,L30232,B,36,2016-04-06,9.78,12.6,120.0,3000.0,1835.77,0,Current,,
57762,L61704,E,60,2017-04-17,24.08,27.21,450.0,7500.0,7368.22,15,In Grace,,
58325,L64299,E,60,2017-05-02,26.56,29.79,804.0,13400.0,13296.61,0,Current,,
66776,L72855,B,60,2017-06-23,11.65,14.21,168.0,3000.0,2712.37,0,Current,,
65107,L71484,C,60,2017-06-07,14.37,17.21,900.0,15000.0,14766.56,0,Current,,
4838,L5135,A,36,2015-03-18,6.89,10.38,500.0,10000.0,1485.01,0,Current,,
9923,L27944,A,36,2016-03-09,6.39,9.15,160.0,4000.0,2310.0,0,Current,,
5977,L11120,D,36,2015-08-10,24.87,29.58,540.0,9000.0,2931.28,0,Current,,
40295,L40975,B,36,2016-09-19,8.68,12.65,392.0,7000.0,0.0,0,Matured,,
9495,L9011,A,36,2015-06-29,8.09,11.61,1250.0,25000.0,0.0,0,Matured,,
3509,L64755,E,60,2017-05-08,27.97,29.79,124.76,3700.0,3642.04,0,Current,,
29993,L28796,C,36,2016-03-22,14.85,15.74,67.5,5400.0,3291.18,0,Current,,
